collection_id,collection_date,collection_money,collection_note,client_id,writer,user_id
20250112-0001,2025-01-12,12000000,비즈메이트 프로젝트 1차,101-81-10001,ADMIN,admin
20250128-0002,2025-01-28,10000000,에이투비 계약금,101-81-10002,ADMIN,admin
20250210-0003,2025-02-10,15000000,코드펜 선금,101-81-10003,ADMIN,admin
20250225-0004,2025-02-25,9000000,네오소프트 1차,101-81-10004,ADMIN,admin
20250312-0005,2025-03-12,17000000,디지털온 1차,101-81-10005,ADMIN,admin
20250326-0006,2025-03-26,9000000,하이브테크 선금,101-81-10006,ADMIN,admin
20250412-0007,2025-04-12,8000000,엠오션 선금,101-81-10007,ADMIN,admin
20250428-0008,2025-04-28,16000000,픽셀랩 1차,101-81-10008,ADMIN,admin
20250512-0009,2025-05-12,12000000,넥스트링크 중도금,101-81-10009,ADMIN,admin
20250528-0010,2025-05-28,14000000,플레인코드 계약금,101-81-10010,ADMIN,admin
20250612-0011,2025-06-12,18000000,비전데이터 1차,101-81-10011,ADMIN,admin
20250628-0012,2025-06-28,10000000,클라우딘 선금,101-81-10012,ADMIN,admin
20250712-0013,2025-07-12,9000000,코드나인 선금,101-81-10013,ADMIN,admin
20250728-0014,2025-07-28,13000000,리턴랩 중도금,101-81-10014,ADMIN,admin
20250812-0015,2025-08-12,14000000,포커스소프트 1차,101-81-10015,ADMIN,admin
20250820-0016,2025-08-20,12000000,비즈메이트 문서서명 연동,101-81-10001,ADMIN,admin
20250912-0017,2025-09-12,15000000,에이투비 SSO 통합,101-81-10002,ADMIN,admin
20250928-0018,2025-09-28,11000000,코드펜 리뷰봇,101-81-10003,ADMIN,admin
20251012-0019,2025-10-12,9000000,네오소프트 품질 리포트,101-81-10004,ADMIN,admin
20251020-0020,2025-10-20,16000000,픽셀랩 디자인 시스템 잔금,101-81-10008,ADMIN,admin
