sales_id,line_num,item_name,quantity,unit_price,unit_vat,total_amount
20250115-0001,1,요구사항 분석,1,12000000,1200000,13200000
20250115-0001,2,프론트엔드 개발,1,18000000,1800000,19800000
20250130-0002,1,사내 포털 설계,1,15000000,1500000,16500000
20250130-0002,2,SSO 연동,1,10000000,1000000,11000000
20250215-0003,1,코드리뷰 엔진,1,20000000,2000000,22000000
20250215-0003,2,알림/웹훅,1,8000000,800000,8800000
20250228-0004,1,모노레포 전환 컨설팅,1,14000000,1400000,15400000
20250228-0004,2,빌드 파이프라인,1,12000000,1200000,13200000
20250315-0005,1,상품 카탈로그,1,17000000,1700000,18700000
20250315-0005,2,주문/결제,1,19000000,1900000,20900000
20250328-0006,1,코스트 맵핑,1,13000000,1300000,14300000
20250328-0006,2,알림/리포트,1,9000000,900000,9900000
20250415-0007,1,배포 스크립트,1,8000000,800000,8800000
20250415-0007,2,롤백 자동화,1,7000000,700000,7700000
20250430-0008,1,컴포넌트 라이브러리,1,16000000,1600000,17600000
20250430-0008,2,토큰/가이드,1,6000000,600000,6600000
20250515-0009,1,네트워크 수집기,1,15000000,1500000,16500000
20250515-0009,2,대시보드,1,12000000,1200000,13200000
20250530-0010,1,플랜/과금,1,20000000,2000000,22000000
20250530-0010,2,결제 게이트웨이,1,14000000,1400000,15400000
20250615-0011,1,ETL 파이프라인,1,18000000,1800000,19800000
20250615-0011,2,머신러닝 배치,1,15000000,1500000,16500000
20250630-0012,1,클라우드 마이그레이션,1,22000000,2200000,24200000
20250630-0012,2,모니터링,1,10000000,1000000,11000000
20250715-0013,1,CI 템플릿,1,9000000,900000,9900000
20250715-0013,2,캐시 최적화,1,11000000,1100000,12100000
20250730-0014,1,프로세스 설계,1,13000000,1300000,14300000
20250730-0014,2,지표 대시보드,1,9000000,900000,9900000
20250815-0015,1,헬프데스크,1,14000000,1400000,15400000
20250815-0015,2,챗봇 연동,1,10000000,1000000,11000000
20251010-0016,1,PR 코멘트봇,1,10000000,1000000,11000000
20251010-0016,2,품질 리포트,1,7000000,700000,7700000
